id,name_en,name_ko,name_ko_alt,type,lat,lng,verses,status
aea17b7,Abana,Abana,,강,33.513542,36.305,열왕기하 5:12,확인 필요
aa8275b,Abarim,Abarim,,산맥,31.7539,35.7152,민수기 27:12; 민수기 33:47; 민수기 33:48; 신명기 32:49; 예레미야 22:20,확인 필요
a72a1ff,Abdon,Abdon,,도시,33.047692,35.161916,여호수아 21:30; 역대상 6:74,확인 필요
abffcaa,Abel-beth-maacah,Abel-beth-maacah,,도시,33.258051,35.581007,사무엘하 20:14; 사무엘하 20:15; 사무엘하 20:18; 열왕기상 15:20; 열왕기하 15:29,확인 필요
a957c5b,Abel-keramim,Abel-keramim,,도시,31.87561,36.00486,사사기 11:33,확인 필요
a5a1bdd,Abel-meholah,Abel-meholah,,도시,32.3743,35.56089,사사기 7:22; 열왕기상 4:12; 열왕기상 19:16,확인 필요
a70ac98,Abel-mizraim,Abel-mizraim,,도시,31.914888,35.530445,창세기 50:11,확인 필요
a51d1fa,Abel-shittim,Abel-shittim,,campsite,31.84018,35.67368,민수기 33:49,확인 필요
a549c0f,Abiezer,Abiezer,,people group,32.6057,35.29,사사기 8:2,확인 필요
a818a40,Abila,Abila,,도시,31.905663,35.855908,,확인 필요
a276d01,Abila Lysaniou,Abila Lysaniou,,도시,33.626667,36.105833,,확인 필요
a498faa,Abilene,Abilene,,지역,33.626667,36.105833,누가복음 3:1,확인 필요
a7560c2,Abronah,Abronah,,campsite,29.530676,34.999999,민수기 33:34; 민수기 33:35,확인 필요
a8b7a6b,Accad,Accad,,도시,33.025556,44.391944,창세기 10:10,확인 필요
a5f4dfc,Acco,Acco,,도시,32.921111,35.088333,사사기 1:31,확인 필요
aef4242,Achaia,Achaia,,지역,38.72,22.54,사도행전 18:12; 사도행전 18:27; 사도행전 19:21; 로마서 15:26; 고린도전서 16:15,확인 필요
a8ce5c4,Achshaph,Achshaph,,도시,32.75885,35.09027,여호수아 11:1; 여호수아 12:20; 여호수아 19:25,확인 필요
a2270e4,Achzib 1,Achzib 1,,도시,31.642074,34.953019,여호수아 15:44; 미가 1:14,확인 필요
ad0d82f,Achzib 2,Achzib 2,,도시,33.048278,35.102652,여호수아 19:29; 사사기 1:31,확인 필요
abf4481,Adadah,Adadah,,도시,31.15214,34.97907,여호수아 15:22,확인 필요
adc31c7,Adam,Adam,,도시,32.103933,35.546789,여호수아 3:16,확인 필요
afe1143,Adamah,Adamah,,도시,32.799722,35.459722,여호수아 19:36,확인 필요
a2c780b,Adami-nekeb,Adami-nekeb,,도시,32.749167,35.459167,여호수아 19:33,확인 필요
a6e831d,Adasa,Adasa,,도시,31.84881,35.16363,,확인 필요
aaee94d,Addar,Addar,,도시,30.583378,34.484081,여호수아 15:3,확인 필요
a95b373,Addon,Addon,,도시,32.543333,44.422222,에스라 2:59; 느헤미야 7:61,확인 필요
a845493,Adithaim,Adithaim,,도시,31.963319,34.951764,여호수아 15:36,확인 필요
a41a054,Admah,Admah,,도시,31.20849,35.449223,창세기 10:19; 창세기 14:2; 창세기 14:8; 신명기 29:23; 호세아 11:8,확인 필요
ae16cf5,Adoraim,Adoraim,,도시,31.50506,35.0275,역대하 11:9,확인 필요
a184f3a,Adramyttium,Adramyttium,,도시,39.500667,26.932716,사도행전 27:2,확인 필요
adc77fb,Adriatic Sea,Adriatic Sea,,body of water,38,19,사도행전 27:27,확인 필요
ab7c40f,Adulis,Adulis,,도시,15.263061,39.660552,,확인 필요
af82614,Adullam,Adullam,,도시,31.651667,35.001667,창세기 38:1; 여호수아 12:15; 여호수아 15:35; 사무엘상 22:1; 사무엘하 23:13,확인 필요
acf8790,Adummim,Adummim,,road,31.8175,35.361505,여호수아 15:7; 여호수아 18:17,확인 필요
a112fe3,Aenon,Aenon,,도시,32.38152,35.52821,요한복음 3:23,확인 필요
a6c3859,Ahava,Ahava,,canal,32.543333,44.422222,에스라 8:15; 에스라 8:21; 에스라 8:31,확인 필요
a36348c,Ahlab,Ahlab,,도시,33.317804,35.243368,사사기 1:31,확인 필요
a7e13e1,Ai 1,Ai 1,,도시,31.916944,35.261111,창세기 12:8; 창세기 13:3; 여호수아 7:2; 여호수아 7:3; 여호수아 7:4,확인 필요
a63c70b,Ai 3,Ai 3,,도시,31.916944,35.261111,에스라 2:28; 느헤미야 7:32,확인 필요
ad053dd,Aiath,Aiath,,도시,31.916944,35.261111,이사야 10:28,확인 필요
aa884e2,Aija,Aija,,도시,31.916944,35.261111,느헤미야 11:31,확인 필요
a1c600b,Aijalon 1,Aijalon 1,,도시,31.841111,35.023611,여호수아 19:42; 여호수아 21:24; 사사기 1:35; 사무엘상 14:31; 역대상 6:69,확인 필요
a2e7975,Aijalon 2,Aijalon 2,,도시,32.814086,35.309023,사사기 12:12,확인 필요
a89511f,Ain 1,Ain 1,,도시,32.71865,35.66791,민수기 34:11,확인 필요
afb265c,Ain 2,Ain 2,,도시,31.38333,34.86564,여호수아 15:32; 여호수아 19:7; 역대상 4:32,확인 필요
adbc931,Ain 3,Ain 3,,도시,31.38333,34.86564,여호수아 21:16,확인 필요
a040ba5,Akeldama,Akeldama,,field,31.76841,35.23288,마태복음 27:8; 사도행전 1:19,확인 필요
a39267b,Akrabbim,Akrabbim,,mountain pass,30.906602,35.131259,민수기 34:4; 여호수아 15:3; 사사기 1:36,확인 필요
ad4ad26,Alemeth,Alemeth,,도시,31.824903,35.273498,역대상 6:60,확인 필요
aee7248,Alexandria,Alexandria,,도시,31.1825,29.8965,사도행전 6:9; 사도행전 18:24; 사도행전 27:6; 사도행전 28:11,확인 필요
a84cafa,Allammelech,Allammelech,,도시,32.771772,35.155668,여호수아 19:26,확인 필요
a00de1e,Allon,Allon,,tree,32.72113,35.41064,여호수아 19:33,확인 필요
af9a894,Allon-bacuth,Allon-bacuth,,tree,31.922778,35.241389,창세기 35:8,확인 필요
ada3369,Almon,Almon,,도시,31.824903,35.273498,여호수아 21:18,확인 필요
aeb052c,Almon-diblathaim,Almon-diblathaim,,도시,31.638727,35.826578,민수기 33:46; 민수기 33:47,확인 필요
a32397f,Alush,Alush,,campsite,28.770311,33.767493,민수기 33:13; 민수기 33:14,확인 필요
a8527ba,Ama,Ama,,도시,31.782302,47.869402,,확인 필요
a2f1fa1,Amad,Amad,,도시,32.6725,35.023333,여호수아 19:26,확인 필요
ab95484,Amalek,Amalek,,지역,30.648333,34.422222,Ex 17:8; Ex 17:9; Ex 17:10; Ex 17:11; Ex 17:13,확인 필요
a3e2b20,Amam,Amam,,도시,31.2185,34.90684,여호수아 15:26,확인 필요
ab428de,Amana,Amana,,산,33.688889,36.031667,Sng 4:8,확인 필요
adc3294,Amate,Amate,,도시,31.782302,47.869402,,확인 필요
ac5cab3,Amaw,Amaw,,지역,36.7014,38.0865,민수기 22:5,확인 필요
a8e4a15,Ammah,Ammah,,hill,31.841047,35.279535,사무엘하 2:24,확인 필요
a6046fa,Ammon,암몬,,지역,31.9547,35.9343,창세기 19:38; 민수기 21:24; 신명기 2:19; 신명기 2:37; 신명기 3:11,공식 성경 표기
a4bdea7,Amphipolis,Amphipolis,,도시,40.820159,23.847209,사도행전 17:1,확인 필요
a234727,Anab,Anab,,도시,31.4121,34.9549,여호수아 11:21; 여호수아 15:50,확인 필요
ac07206,Anaharath,Anaharath,,도시,32.653446,35.46614,여호수아 19:19,확인 필요
a79606b,Ananiah,Ananiah,,도시,31.771661,35.255903,느헤미야 11:32,확인 필요
ab34789,Anathoth,Anathoth,,도시,31.80752,35.25758,여호수아 21:18; 사무엘하 23:27; 열왕기상 2:26; 역대상 6:60; 역대상 11:28,확인 필요
ad13f27,Anem,Anem,,도시,32.713549,35.495439,역대상 6:73,확인 필요
a2a145b,Aner,Aner,,도시,32.521526,35.219122,역대상 6:70,확인 필요
aac6cda,Angle,Angle,,structure,31.776667,35.234167,역대하 26:9; 느헤미야 3:19; 느헤미야 3:20; 느헤미야 3:24; 느헤미야 3:25,확인 필요
ac22b90,Anim,Anim,,도시,31.353601,35.063521,여호수아 15:50,확인 필요
ae41ab4,Antioch 1,Antioch 1,,도시,36.226691,36.171743,사도행전 6:5; 사도행전 11:19; 사도행전 11:20; 사도행전 11:22; 사도행전 11:26,확인 필요
a6c704a,Antioch 2,Antioch 2,,도시,38.306111,31.189167,사도행전 13:14; 사도행전 14:19; 사도행전 14:21; 디모데후서 3:11,확인 필요
ac4f712,Aphek 1,Aphek 1,,도시,32.8461,35.1119,여호수아 19:30,확인 필요
a7b2e63,Aphek 2,Aphek 2,,도시,32.105,34.930417,여호수아 12:18; 사무엘상 4:1; 사무엘상 29:1; 사도행전 23:31,확인 필요
a6fc60d,Aphek 3,Aphek 3,,도시,32.783679,35.63729,열왕기상 20:26; 열왕기상 20:30; 열왕기하 13:17,확인 필요
a4cf129,Aphek 4,Aphek 4,,도시,34.069167,35.886111,여호수아 13:4,확인 필요
ae46bcd,Aphekah,Aphekah,,도시,31.4555,34.9975,여호수아 15:53,확인 필요
a012133,Aphik,Aphik,,도시,32.8461,35.1119,사사기 1:31,확인 필요
ab20df9,Apollonia,Apollonia,,도시,40.623703,23.469685,사도행전 17:1,확인 필요
a38ad07,Ar,Ar,,도시,31.359913,35.782764,민수기 21:15; 민수기 21:28; 신명기 2:9; 신명기 2:10; 신명기 2:18,확인 필요
adbc03e,Arab,Arab,,도시,31.43188,35.02957,여호수아 15:52,확인 필요
a2bb5ef,Arabah,아라바,,지역,30.416944,35.151389,신명기 1:1; 신명기 1:7; 신명기 2:8; 신명기 3:17; 신명기 4:49,공식 성경 표기
a59f6f5,Arabia 1,Arabia 1,,지역,23,46,열왕기상 10:15; 역대하 9:14; 이사야 21:13; 예레미야 25:24; 에스겔 27:21,확인 필요
a0f4ea8,Arabia 2,Arabia 2,,지역,30.07,35.35,갈라디아서 1:17; 갈라디아서 4:25,확인 필요
abc358b,Arad 1,Arad 1,,도시,31.280833,35.125,민수기 21:1; 민수기 33:40; 여호수아 12:14,확인 필요
a4cea2a,Arad 2,Arad 2,,도시,31.280833,35.125,사사기 1:16,확인 필요
a3e66cd,Aram,Aram,,지역,33.511112,36.30639,민수기 23:7; 사사기 18:7; 사사기 18:28; 사무엘하 8:6; 사무엘하 15:8,확인 필요
a3c7b44,Aram-naharaim,Aram-naharaim,,지역,36.864444,39.032778,시편 60:1,확인 필요
ab89be9,Ararat,Ararat,,지역,39.702761,44.300381,창세기 8:4; 열왕기하 19:37; 이사야 37:38; 예레미야 51:27,확인 필요
a576db3,Arbela,Arbela,,도시,32.815137,35.483808,,확인 필요
a815d89,Areopagus,Areopagus,,hill,37.972222,23.723611,사도행전 17:19; 사도행전 17:22; 사도행전 17:33,확인 필요
a42a5b2,Argob,Argob,,지역,32.9695,36.455383,신명기 3:4; 신명기 3:13; 신명기 3:14; 열왕기상 4:13,확인 필요
a8754c4,Ariel,Ariel,,도시,31.776667,35.234167,이사야 29:1; 이사야 29:2; 이사야 29:7,확인 필요
